index,v_measured,v_pred,eta
1097,0.0,0.0,
1098,0.0,0.0,
1099,1.64e-06,1.6333183856502242e-06,
1100,0.0,0.0,
1101,0.0,0.0,
1102,0.0,0.0,
1103,0.0,0.0,
1104,0.0,0.0,
1105,0.0,0.0002022556748101057,
1106,0.0,0.0001955716629640835,
1107,0.00104953,0.002633987738292747,
1108,0.00045489,0.00036422999999999995,
1109,0.00104953,0.002634383375626325,
1110,0.00104953,0.0026347949528449876,
1111,0.0,0.0,
1112,0.0,0.0,
1113,0.0,0.0,
1114,0.00104953,0.00263373769435552,
1115,0.0,0.0,
1116,0.00218983,0.0,
1117,0.0,0.0,
1118,0.0,0.0,
1119,0.0,0.0,
1120,0.0,0.0,
1121,0.0,0.0,
1122,0.0,0.0,
1123,0.0,0.0,
1124,0.0,0.0,
1125,0.0,0.0,
1126,0.0,0.0,
1127,0.00018211,0.000182115,
1128,0.0,0.0,
1129,0.0,0.0,
1130,-1e-08,0.0,
1131,0.0,0.0,
1132,0.0,0.0,
1133,0.0,0.0,
1134,0.0,0.0,
1135,0.0,0.0,
1136,0.0,0.0,
1137,0.0,0.0,
1138,0.0,1.4453945972736688,
1139,0.0,0.0,
1140,0.0,0.0,
1141,0.0,0.0,
1142,0.00218983,0.0,
1143,0.0,0.0,
1144,0.0,0.0,
1145,0.0,-0.0,
1146,0.0,0.0,
1147,0.0,0.0,
1148,0.0,-1.0572584894677321e-06,
1149,0.0,0.0,
1150,0.0,-0.0,
1151,0.0,0.0,
1152,0.0,0.0,
1153,0.0,0.0,
1154,0.0,0.0,
1155,1e-08,0.0,
1156,0.00013658,0.00034356950331251987,0.9900481981330956
1157,2.731e-05,0.0,0.9900481981330956
1158,0.0,0.0,
1159,0.0,0.0,
1160,0.0,0.0,
1161,0.0,0.0,
1162,0.0,0.0,
1163,0.0,0.0,
1164,0.0,0.0,
1165,3.62501752,3.4120204523359288,
1166,0.0,0.0,
1167,0.0,0.0,
1168,0.0,0.0003812881373696157,
1169,0.0004065,0.000975241602550178,0.9900481981330956
1170,0.00031618,0.001069608829768053,0.038449843407188516
1171,0.0,0.0,
1172,0.00016295,0.0002689245203746013,0.988422948477386
1173,0.0,0.0,
1174,0.0,0.0,
1175,0.0,0.0,
1176,0.0,0.0,
1177,0.05859352,0.05847831843489999,
1178,0.0,0.0,
1179,0.0,0.0,
1180,0.0,1.0572584894677321e-06,
1181,0.0,0.0,
1182,0.0,0.0,
1183,0.0,0.0,
1184,0.00668382,0.006683563545176565,
1185,0.0,0.0,
1186,0.00510204,0.004489333285151149,0.7561831298258809
1187,0.0,0.0,
1188,0.0,0.0,
1189,0.0,0.00021002661845558518,
1190,0.0,0.00018250016330996987,
1191,0.0,0.0,
1192,0.0,1.236811725389468e-05,
1193,0.0,0.0,
1194,0.0,0.0,
1195,0.0,0.0,
1196,0.0,0.0,
1197,0.0,0.0,
1198,0.0,0.0,
1199,0.0,0.0,
1200,0.04973382,0.049634992335944386,
1201,0.03868268,0.03861991639969371,
1202,0.0,0.0,
1203,0.00736444,0.00736444,0.139399966567193
1204,0.0,0.0,
1205,0.0,0.009370350571851888,
1206,0.0,0.0,
1207,0.0,0.0,
1208,0.0,0.0,
1209,0.0,0.0,
1210,0.01993666,0.019859546460264426,
1211,0.0,0.0,
1212,0.0,0.0,
1213,0.0,0.0021829659860397783,
1214,0.0,0.0,
1215,0.0,0.0,
1216,6.45205687,5.228566174245318,
1217,0.64175144,0.8259129971795016,0.0657147946063073
1218,0.0,0.0,
1219,0.0,0.0,
1220,0.0,0.0,
1221,0.0,0.0,
1222,0.0,0.0,
1223,0.0,0.0,
1224,0.0,0.0,
1225,0.0,0.0,
1226,0.0,0.0,
1227,0.0,0.0,
1228,0.0,0.0,
1229,0.0,0.0,
1230,0.0,0.0,
1231,0.0,0.0,
1232,0.0,0.0,
1233,0.0,0.0,
1234,0.0,0.0,
1235,0.89227676,0.8686736733901311,0.2658839235895415
1236,0.17613436,0.17541676130044837,
1237,0.01282057,0.012680040977110889,
1238,0.17613436,0.17541676130044837,0.6952314790432264
1239,0.0,0.0,
1240,0.19397268,0.36328290102330224,
1241,0.0,0.0,
1242,0.0,0.0,
1243,2.98353711,4.525024974525332,0.7246031746031746
1244,0.01282057,0.012680040977110889,
1245,0.0,0.0,
1246,0.0,0.0,
1247,0.0,0.0,
1248,0.0,0.0,
1249,0.0,0.20415562564010692,
1250,0.0,0.0,
1251,0.0,0.20415562564010692,
1252,0.0,0.0,
1253,0.0,0.0,
1254,0.0,0.0,
1255,0.0,0.0,
1256,0.0,0.0,
1257,0.0,0.0,
1258,1.2542811,0.2938587236654977,
1259,0.0,0.0,
1260,0.0,0.0,
1261,0.0,0.0,
1262,0.0,0.0,
1263,0.0,0.0,
1264,0.0,0.0,
1265,0.0,0.0,
1266,0.0,0.0,
1267,0.0,0.0,
1268,0.0,0.0,
1269,0.0,0.0,
1270,0.0,0.0,
1271,0.0,0.0,
1272,0.0,-0.0,
1273,0.0,0.0,
1274,0.0,0.0,
1275,1.38071444,0.4197769546296232,
1276,0.00668382,0.006683819999999999,0.43649043685644434
1277,0.00668382,0.006683819999999999,
1278,0.00668382,0.006683819999999999,
1279,0.0,0.0,
1280,0.0,0.0,
1281,0.00668382,0.006683819999807383,0.009951801866904308
1282,0.0,0.0,
1283,0.0,0.0,
1284,0.0,0.0,
1285,0.0,0.0,
1286,0.0,0.0,
1287,0.0,0.0,
1288,0.0,0.0,
1289,0.0,0.0,
1290,0.02673528,0.026734754557481224,
1291,0.0,0.0,
1292,0.0,0.0,
1293,9.31744457,9.115302563293778,0.21849273187339152
1294,0.0,0.0,
1295,0.0,0.0,
1296,0.0,5.490925149603472,
1297,0.0,0.0,
1298,9.31744457,3.8285330393304124,0.22219533997318322
1299,0.0,0.0,
1300,0.0,0.0,
1301,1.38071444,0.4197769546296232,0.36087023174523813
1302,0.0,0.0,
1303,1.42473347,1.4190585750077893,
1304,0.0,0.0,
1305,0.0,0.0,
1306,0.0,0.0,
1307,0.0,0.0,
1308,0.0,0.0,
1309,0.0,0.0,
1310,0.17613436,0.17541676130044837,
1311,0.0,0.0,
1312,0.0,0.0,
1313,0.0,0.0,
1314,0.0,0.0,
1315,0.0,0.0,
1316,0.0,0.0,
1317,0.0,0.0,
1318,14.99615716,13.964239700184669,0.6614343991975744
1319,0.00018211,0.000182115,
1320,0.0,0.0,
1321,0.0,1.307918064426424,
1322,0.0,0.0,
1323,0.0,0.0,
1324,0.35676571,0.3553137972761881,0.47791863784431365
1325,0.0,0.003466694642045711,
1326,0.35676571,0.21933148156413707,
1327,0.0,0.0,
1328,0.0,0.1359823157120511,
1329,0.0,0.0,
1330,0.00510204,0.00437076,0.4212686471011824
1331,0.00510204,0.00437076,
1332,0.0,0.0,
1333,0.0,0.0,
1334,0.00073144,0.0007284600000000419,0.45458459608518215
1335,0.0,0.0,
1336,-7.5e-07,0.0,
1337,0.0,0.0,
1338,0.0,0.0,
1339,0.0,0.0,
1340,0.0,0.0,
1341,0.0,0.0,
1342,0.0,0.0,
1343,0.0,0.0,
1344,0.0,0.0,
1345,0.0,0.0,
1346,0.0,0.0,
1347,0.0,0.0,
1348,0.0,0.0,
1349,0.0,0.0,
1350,0.05859352,0.05847806198007656,
1351,0.0,0.0,
1352,0.0,0.0,
1353,0.0,0.0,
1354,0.0,0.0,
1355,0.0,0.0,
1356,0.0,0.0,
1357,0.0,0.0,
1358,0.0,0.0,
1359,0.0,0.0,
1360,0.0,0.0,
1361,0.0,0.0,
1362,0.0,0.00019605876253183063,
1363,0.0,0.0,
1364,0.0,0.0,
1365,0.0,0.0,
1366,0.0,0.0,
1367,0.0,0.0,
1368,0.0,0.0,
1369,0.0,0.0,
1370,0.0,0.0,
1371,0.0,0.0,
1372,0.0,0.0,
1373,0.0,0.0,
1374,0.0,0.0,
1375,0.0,0.0,
1376,0.04718464,0.0,
1377,0.0,0.0,
1378,0.0,0.0,
1379,0.0,0.0,
1380,0.0,0.0,
1381,0.0,0.0,
1382,0.0,0.0,
1383,0.0,0.0,
1384,0.0,0.0,
1385,0.0,0.0,
1386,0.0,0.0,
1387,0.0,0.0,
1388,0.0,0.0,
1389,0.0,0.0,
1390,0.0,0.0,
1391,0.0,0.45982550392991534,
1392,0.2319344,0.0,
1393,0.0,0.0,
1394,0.00073144,0.0007284600000000419,
1395,0.0,0.0,
1396,0.0,0.0,
1397,0.0,0.0,
1398,0.0,0.0,
1399,0.00525948,0.005238539162348016,
1400,0.0,0.0,
1401,0.0,0.0,
1402,0.0,0.0,
1403,0.0,0.0,
1404,0.0,0.0,
1405,0.0,0.0,
1406,0.00104953,0.0026347949528449876,
1407,0.00104953,0.0026347949528449876,
1408,0.00104953,0.0026347949528449876,
1409,0.00104953,0.00263373769435552,
1410,0.00104952,0.00263373769435552,
1411,0.00091295,0.002290168191043,
1412,0.0,0.0,
1413,0.0,0.0,
1414,0.0,0.0,
1415,0.0,0.0,
1416,0.0,0.0,
1417,0.00088563,0.0019088800536733843,
1418,0.00016295,0.00026858111693515155,
1419,0.0,0.0,
1420,0.00018211,0.000182115,
1421,0.0,0.0,
1422,0.0,0.0,
1423,0.0,0.0,
1424,2.14016264,2.123147805063586,
1425,0.0,0.0,
1426,0.0,0.0,
1427,0.0,0.0,
1428,0.0,0.0,
1429,0.0,0.0,
1430,0.02673528,0.026734510635337064,0.8454414486586648
1431,0.0,0.0,
1432,0.02673528,0.02673528,0.853337748510148
1433,0.0,0.0,
1434,0.0,0.0,
1435,0.00018286,0.00018286,0.5921351219346113
1436,0.00668382,0.006683819999999999,
1437,0.02673528,0.02673528,
1438,0.0,0.0,
1439,0.00668382,0.006683819999999999,0.7754529815970997
1440,0.00668382,0.006683819999999999,
1441,0.0,0.0,
1442,0.19397268,0.19318563201793726,
1443,-3.7e-07,0.0,
1444,0.0,0.0,
1445,2.44342335,3.4951454410896656,0.48214760639550625
1446,0.0,0.20415562564010692,
1447,0.00668382,0.006683819999999999,
1448,0.00668382,0.006683819999999999,
1449,0.00668382,0.006683819999807383,
1450,0.0,-0.0,
1451,9.31744457,9.11530203785126,0.2549681730651563
1452,0.0,0.0,
1453,0.0,0.0,
1454,0.0,0.0,
1455,0.0,-0.0,
1456,0.0,0.0,
1457,0.0,0.0,
1458,0.0,0.0,
1459,0.0,0.0,
1460,0.0,6.684011846022203e-06,
1461,7.5e-07,0.0,
1462,0.0,0.0001955716629640835,
1463,0.0,0.0,
1464,0.0,0.0,
1465,0.0,0.0,
1466,0.0,0.0,
1467,0.0,0.0,
1468,0.0,0.0,
1469,0.07548592,0.07517837865470851,
1470,0.0,0.0,
1471,0.07548592,0.07517837865470851,
1472,0.0,0.0,
1473,0.0,0.0,
1474,0.0,0.0,
1475,0.0,0.0,
1476,0.0,0.0,
1477,0.0,0.0,
1478,0.0,0.0,
1479,0.0,0.0,
1480,0.0,0.0,
1481,0.0,0.0,
1482,0.0,-0.0,
1483,0.0,0.0,
1484,0.00063775,0.000546345,
1485,0.0,-0.0,
1486,0.0,0.0,
1487,0.0007741,0.0007741212556053811,
1488,0.0,0.0,
1489,0.0,0.0,
1490,0.0,0.0,
1491,0.0,0.0,
1492,0.0,0.0,
1493,0.0,0.0,
1494,0.0,0.0,
1495,0.0,0.0,
1496,0.0,0.0,
1497,0.0,0.0,
1498,0.0,0.0,
1499,0.0,0.0,
1500,0.0,0.0,
1501,0.0,0.0,
1502,0.0,0.0,
1503,0.0,0.0,
1504,0.0,0.0,
1505,0.0,0.0,
1506,0.00073144,0.0007284600000000419,
1507,-7.5e-07,0.0,
1508,0.0,0.0,
1509,-7.5e-07,0.0,
1510,0.0,0.0,
1511,0.0,0.0,
1512,0.0,0.0,
1513,0.0,0.0,
1514,0.0,0.0,
1515,0.0,0.0,
1516,0.0,0.0,
1517,0.0,0.03207688695990085,
1518,0.0,0.0,
1519,0.0,0.0,
1520,0.00018211,0.000182115,
1521,0.00073144,0.0007284600000000419,
1522,0.00036422,0.00036423,
1523,0.0,0.0,
1524,0.43362584,0.4738523643974143,0.07448773742241221
1525,0.1281701,0.12764791513452914,
1526,0.0,0.0,
1527,0.00304539,0.0030330722421524664,
1528,0.0,0.0,
1529,0.00463909,0.004639297556053811,
1530,0.07548592,0.07517837865470851,
1531,0.0,0.0,
1532,0.0,0.0,
1533,0.35897796,0.3575154281165919,0.29564567979192985
1534,9e-08,0.0,
1535,0.0,0.08849831388181985,
1536,0.00609096,0.006066144484304933,
1537,0.0,0.0,
1538,0.0,0.0,
1539,0.0,0.0,
1540,0.0,0.0,
1541,0.0,0.0,
1542,0.35897796,0.3575154281165919,
1543,0.0,0.0,
1544,0.0,0.0,
1545,0.0,0.0,
1546,0.0,0.0,
1547,0.0,0.0,
1548,0.0,0.0,
1549,0.0,0.0,
1550,2.45e-06,2.133982217344371e-06,
1551,0.0,0.0,
1552,0.23149092,0.2305477900896861,
1553,0.0,0.0,
1554,0.25576217,0.2534991429042461,
1555,2.46e-06,2.133982217344371e-06,
1556,0.02005146,0.020119860859000326,
1557,0.02005146,0.020119860859000326,
1558,0.0,0.0,
1559,0.0,0.0,
1560,0.0,0.0,
1561,0.02005146,0.020119860859000326,0.740007353440955
1562,0.0,0.0,
1563,0.0,-0.0,
1564,0.0,0.0,
1565,0.1522658,0.15164544551569506,
1566,0.0,0.0,
1567,0.1522658,0.15164544551569503,
1568,0.0,0.0,
1569,1.64e-06,1.6333183856502242e-06,
1570,0.00022386,0.00022257537434161196,
1571,0.00020582,0.00020429287673832854,
1572,1.968e-05,1.9915815988933657e-05,
1573,0.00020582,0.00020429287673832854,
1574,0.00020582,0.00020429287673832854,
1575,3.28829023,2.734500521009204,0.7548429148203356
1576,0.0,0.0,
1577,0.00091056,0.0009079202110953096,
1578,0.00054634,0.0005436902110953116,0.5684514634488351
1579,0.39943592,0.7616239616200599,
1580,0.00144556,0.0014392811434154862,0.5
1581,0.0,0.0,
1582,0.0,0.0,
1583,0.0,0.0,
1584,0.0,0.0,
1585,0.0,0.0,
1586,0.0,0.0,
1587,0.0,0.0,
1588,0.0,0.0,
1589,0.0,0.0,
1590,0.0,0.0,
1591,0.0,0.0,
1592,0.0,0.0,
1593,0.07548592,0.07517837865470851,
1594,0.0,0.0,
1595,0.0,0.0,
1596,0.0,0.0,
1597,0.0,0.0,
1598,0.07548592,0.07517837865470851,
1599,0.04529188,0.04510735385650224,
1600,0.00668382,0.006718020429500163,
1601,0.0,0.0,
1602,0.0,0.0,
1603,0.0,0.0,
1604,0.0,0.0,
1605,0.0,0.0,
1606,0.0,0.0,
1607,0.0,0.0,
1608,0.0,0.0,
1609,0.0,0.0,
1610,0.0,0.0,
1611,0.0,0.0,
1612,0.0,0.0,
1613,0.19397268,0.19318563201793726,
1614,0.0,0.0,
1615,0.0,0.0,
1616,0.0,0.0,
1617,0.0,0.0,
1618,0.0,0.0,
1619,0.0,0.0,
1620,0.0,0.0,
1621,0.0,0.0,
1622,0.0,0.0,
1623,0.0,0.0,
1624,0.0,0.0,
1625,0.0,0.0,
1626,0.0,0.0,
1627,0.0,0.0,
1628,0.0,0.0,
1629,0.35897796,0.3575154281165919,
1630,0.0,0.0,
1631,0.0,0.0,
1632,0.0,0.0,
1633,0.0,0.0,
1634,0.0,0.0,
1635,0.0,0.0,
1636,0.0,0.0,
1637,0.0,0.0,
1638,0.0,0.0,
1639,0.0,0.0,
1640,0.0,0.0,
1641,0.0,0.0,
1642,0.0,0.0,
1643,0.0,0.0,
1644,0.0,0.0,
1645,0.0,3.432865691187833e-05,
1646,0.0,0.0,
1647,0.0,0.0,
1648,0.0,0.0,
1649,0.0,0.0,
1650,1.64e-06,1.6333183856502242e-06,
1651,0.0,0.0,
1652,0.0,0.0,
1653,0.0,0.0,
1654,0.0,0.0,
1655,0.40016736,0.7623524216200599,
1656,0.0,0.0,
1657,0.0,0.0,
1658,0.0,0.0,
1659,0.0,0.0,
1660,0.0,0.0,
1661,0.0,0.0,
1662,0.0,0.0,
1663,0.0,0.0,
1664,0.0,0.0,
1665,0.0,0.0,
1666,0.0,0.0,
1667,0.0,0.0,
1668,0.00541318,0.005413418811659193,
1669,0.0,0.0,
1670,0.0,0.0,
1671,0.0,0.0,
1672,0.0,0.0,
1673,0.0,0.0,
1674,0.0,0.0,
1675,0.00718115,0.0069736375160041955,
1676,0.0,0.0,
1677,0.0,0.0,
1678,0.0,0.0,
1679,0.0,0.0,
1680,0.0,0.0,
1681,0.0,0.0,
1682,0.0,0.0,
1683,0.0,0.0,
1684,0.0,0.0,
1685,0.12926591,0.1287422384529148,
1686,0.0,0.0,
1687,0.0,0.0,
1688,0.0,0.0,
1689,0.0,0.0,
1690,0.0,0.0,
1691,0.0,0.0,
1692,0.0,0.0,
1693,0.0,0.0,
1694,0.0,0.0,
1695,0.0,0.0,
1696,0.0,0.0,
1697,0.0,0.00010379563190850621,
1698,0.0,0.0,
1699,0.0,0.0,
1700,0.0,0.0,
1701,0.0,8.766452594810026e-05,
1702,0.0,0.0,
1703,0.0,0.0,
1704,0.0,0.0,
1705,0.0,0.0,
1706,0.0,0.0,
1707,0.0,0.0,
1708,0.0,0.0,
1709,0.0,-0.0,
1710,0.0,0.0,
1711,0.0,0.0,
1712,0.0,0.0,
1713,0.00676746,0.00673988831838565,
1714,0.0,4.111505107477032e-06,
1715,0.00676746,0.006739888318385623,
1716,0.0,0.0,
1717,0.0,0.0,
1718,0.0,0.0,
1719,0.0,0.0,
1720,0.0,0.0,
1721,0.0,0.0,
1722,0.0,-0.0,
1723,0.0,0.0,
1724,1.78355273,1.7679891730340345,
1725,0.0,-0.0,
1726,0.0,0.0,
1727,0.0,0.0,
1728,0.0,0.0,
1729,0.00496346,0.004943238094170403,
1730,0.0,0.0,
1731,0.0011029,0.0010984707280556338,
1732,0.0,0.0,
1733,0.00055186,0.0005496116367713005,
1734,0.00446736,0.00444915928251121,
1735,0.00055186,0.0005496116367713005,
1736,0.00441242,0.004394443116591928,
1737,0.0004961,0.0004940788116591928,
1738,0.0,0.0,
1739,0.0,0.0,
1740,0.0,0.0,
1741,0.0011029,0.0010984707280556338,
1742,0.0011029,0.0010984707280556338,
1743,0.00441242,0.004394443116591928,
1744,0.0,0.0,
1745,0.0,0.0,
1746,0.0,0.0,
1747,0.0,0.0,
1748,0.0,0.0,
1749,0.0,0.0,
1750,0.0,0.0,
1751,0.0,0.0,
1752,0.0,0.0,
1753,0.0,0.0,
1754,4.02419113,4.173200968014282,0.6357886861609928
1755,0.0,0.0,
1756,0.0,0.0,
1757,0.0,0.0,
1758,0.0,0.0,
1759,0.0,0.0,
1760,0.0,0.0,
1761,0.0,0.0,
1762,0.0,0.0,
1763,0.0,0.0,
1764,0.0,0.0,
1765,0.0,0.0,
1766,0.0,0.0,
1767,0.00541318,0.005413418811659193,
1768,0.00541318,0.005413418811659193,
1769,0.0,0.0,
1770,0.0,0.0,
1771,0.0,0.0,
1772,0.0,0.0,
1773,0.0,0.0,
1774,0.0,0.0,
1775,0.0,0.0,
1776,0.0,0.0,
1777,0.0004017,0.0004017963228699552,
1778,0.00668382,0.006718020429500163,
1779,0.0,0.0,
1780,0.0,0.0,
1781,0.00053956,0.0005373617488789237,
1782,0.00668382,0.006718020429500163,
1783,0.0,0.0,
1784,0.00668382,0.006683819999999999,
1785,0.0,0.0,
1786,0.0,0.0,
1787,0.0,0.0,
1788,0.0001119,0.00011188230941704038,
1789,0.0001119,0.00011188230941704038,
1790,0.0,0.0,
1791,5.74e-06,5.716614349775784e-06,
1792,0.00010616,0.00010616569506726459,0.6336996764139452
1793,5.74e-06,5.716614349775784e-06,
1794,0.00047232,0.00047039569506585055,
1795,0.00099375,0.0011719059417063843,
1796,0.00020085,0.0002008981614349776,
1797,0.01103064,0.010985763575589266,
1798,0.0,0.0,
1799,0.0,0.0,
1800,0.0,0.0,
1801,0.00053956,0.0005373617488789173,
1802,0.0,0.002519301026990984,
1803,0.00055186,0.0005496116367713005,
1804,0.00020085,0.0002008981614349776,
1805,0.0004017,0.0004017963228699552,
1806,0.0,0.0,
1807,0.0,0.0,
1808,0.0,0.016933199949675883,
1809,0.0,0.0,
1810,8.61548459,8.580191513218164,
1811,8.6154844,8.580191513218164,
1812,0.0,0.0,
1813,0.0,0.0,
1814,0.0,0.0,
1815,0.00553008,0.005507549596412556,
1816,0.78901735,0.6498236574950337,
1817,0.78901735,0.6498236574950337,
1818,0.12944877,0.1289243534529148,
1819,0.0,0.0,
1820,0.0,0.0,
1821,0.00109581,0.0010943233183856502,
1822,0.0,-0.0,
1823,0.0,0.0,
1824,0.00025174,0.00025071437219731374,
1825,0.0,0.0,
1826,0.00025174,0.0002507143721973094,
1827,0.0,0.0,
1828,0.0,0.0,
1829,0.0,0.0,
1830,0.0,0.0,
1831,0.0,0.0,
1832,0.0,0.0,
1833,0.0,0.0,
1834,27.32834649,27.635413205102978,
1835,0.0,0.0,
1836,0.0,0.0,
1837,0.0,0.0,
1838,0.0,-0.0,
1839,0.0,0.0,
1840,0.0,0.0,
1841,0.0,0.0,
1842,0.0,0.0,
1843,0.0,0.0,
1844,0.0,0.0,
1845,0.0,0.0,
1846,0.0,0.0,
1847,0.00186114,0.00036504665919282506,
1848,0.00186878,0.0018611663004460817,
1849,0.0,-0.0,
1850,0.0,0.0,
1851,0.0,0.0,
1852,0.0,0.0,
1853,0.0,0.0,
1854,0.00186878,0.0018611663004460821,
1855,0.0,0.0,
1856,0.0,0.0,
1857,0.0,0.0,
1858,0.0,0.0,
1859,0.0014946,0.0,
1860,0.0,0.0,
1861,0.00186878,0.0018611663004460821,
1862,0.0,0.0,
1863,0.0,0.0,
1864,0.0,0.0,
1865,0.0,0.0,
1866,0.0,0.0,
1867,-1.9e-07,0.0,
1868,0.0,0.0,
1869,0.0,0.0,
1870,-9e-08,0.0,
1871,0.0,0.0,
1872,0.22787376,0.0007645482704234797,
1873,0.0,0.0,
1874,0.0,0.0,
1875,0.0,0.0,
1876,0.63530977,0.6222161117655011,
1877,0.34799448,0.3512097864759969,
1878,0.0,0.0,
1879,0.0,0.0,
1880,0.0,0.0,
1881,0.13429012,0.13415245921853977,
1882,0.0,0.0,
1883,0.02702392,0.02694079482273537,
1884,0.0,0.0,
1885,0.0,0.02091627524663677,
1886,0.0,0.0,
1887,0.0,0.0,
1888,0.0,0.0,
1889,0.0,0.0,
1890,0.0,0.0,
1891,0.0,0.0,
1892,0.0,0.0,
1893,0.0,0.0,
1894,0.0,0.0,
1895,0.0,0.0,
1896,0.0,0.0,
1897,0.0,0.0,
1898,0.0,0.0,
1899,0.0,0.0,
1900,0.0,0.0,
1901,0.0,0.0,
1902,0.0,0.0,
1903,0.0,0.0,
1904,0.0,0.0,
1905,0.0,0.0,
1906,0.0,0.0,
1907,0.0,0.0,
1908,0.0,0.0,
1909,0.0,0.0,
1910,0.0,0.0,
1911,0.0,0.0,
1912,0.0,0.0,
1913,0.0,0.0,
1914,0.0,0.0,
1915,0.0,0.0,
1916,0.0,0.0,
1917,0.0,0.0,
1918,0.0,0.0,
1919,0.0,0.0,
1920,0.0,0.0,
1921,0.0,0.0,
1922,0.0,0.0,
1923,0.0,0.0,
1924,0.0,0.0,
1925,0.0,0.0,
1926,0.0,0.0,
1927,0.0,0.0,
1928,0.0,0.0,
1929,0.0,0.0,
1930,0.0,0.0,
1931,1.64e-06,1.6333183856502242e-06,
1932,0.0,0.0,
1933,0.03281148,0.032677800942984905,
1934,0.0,0.0,
1935,0.0,0.0,
1936,0.0,0.0,
1937,0.0,0.0,
1938,0.0,0.0,
1939,0.0,0.0,
1940,0.0,0.0,
1941,0.0,0.0,
1942,0.0,0.03811079441704253,
1943,0.0,0.0,
1944,0.0,0.0,
1945,0.0,0.0,
1946,0.0,0.0,
1947,0.0,0.0,
1948,0.0,0.0,
1949,0.0,0.0,
1950,0.0,0.0,
1951,0.0,0.0,
1952,-1.9e-07,0.0,
1953,0.0,0.0,
1954,0.0,0.0,
1955,0.0,-0.0,
1956,0.0,0.0,
1957,0.0,0.0,
1958,0.17613436,0.17541676130044837,
1959,0.0,0.0,
1960,0.0,0.0,
1961,0.0,0.0,
1962,0.0,0.0,
1963,0.0,0.0,
1964,0.0,0.0,
1965,0.0,-0.0,
1966,0.0,-0.0,
1967,0.0,0.0,
1968,0.0,0.0,
1969,0.0,0.0,
1970,0.0,0.0,
1971,0.0,0.0,
1972,0.0,0.0,
1973,0.0,-0.0,
1974,0.0,0.0,
1975,0.0,0.0,
1976,0.0,0.0,
1977,0.0,0.0,
1978,0.0,0.0,
1979,0.0,0.0,
1980,15.19865874,15.347683184500672,
1981,15.19865874,15.347683184500672,
1982,0.0,0.0,
1983,0.0,0.0,
1984,0.0,0.0,
1985,0.0,0.0,
1986,0.2356844,0.2347241852003208,
1987,0.0,0.0,
1988,0.00047232,0.00047039569506585055,0.7967842798628628
1989,0.0,0.0,
1990,0.0,0.0,
1991,0.0,0.0,
1992,0.0,0.0,
1993,0.0,0.0,
1994,0.00054634,0.000546345,
1995,1e-08,0.0,
1996,0.0,0.0,
1997,0.0,0.0,
1998,0.0,0.0,
1999,0.0,0.0,
2000,1.64e-06,1.6333183856502242e-06,
2001,1.64e-06,1.6333183856502242e-06,
2002,0.0,7.171111413769329e-06,
2003,1.64e-06,1.6333183856502242e-06,
2004,0.00018286,0.000182115,
2005,0.0,0.0,
2006,0.0,0.0,
2007,0.0,0.0,
2008,0.0,0.0,
2009,0.0,0.0,
2010,0.0,0.0,
2011,0.0,0.0,
2012,0.00018211,0.000182115,
2013,0.00018211,0.00018211499999999997,
2014,0.35897796,0.3575154281165919,
2015,0.0,0.0,
2016,0.0,0.0,
2017,0.00018211,0.000182115,
2018,0.0,0.0,
2019,0.0,0.0,
2020,0.02261314,0.022521138787949833,
2021,0.203241,0.20241406556533015,
2022,0.26266568,0.26159528282768785,
2023,0.0,0.0,
2024,0.0,0.0,
2025,0.0,0.0,
2026,0.00018211,0.000182115,
2027,0.0,0.0,
2028,0.0,0.0,
2029,0.0,0.0,
2030,0.00018211,0.000182115,
2031,9.20182974,9.18784359202757,
2032,0.0,0.000182115,
2033,0.00018286,0.0,
2034,0.00018286,0.000182115,
2035,0.00018211,0.000182115,
2036,0.0,0.0,
2037,1.64e-06,1.6333183856502242e-06,
2038,1.64e-06,1.6333183856502242e-06,
2039,0.0,0.0,
2040,0.0,0.0,
2041,0.0,0.0,
2042,0.0,0.0,
2043,0.0,0.0,
2044,0.0,0.0,
2045,0.0,0.0,
2046,0.0,0.0,
2047,0.0,0.0,
2048,0.0,0.0,
2049,0.0088396,0.008803586098654708,
2050,0.0068757,0.006847687331838564,
2051,0.02607436,0.026074359999999998,
2052,0.02028024,0.020292450794312543,
2053,0.0,0.0,
2054,0.0,0.0,
2055,0.00354322,0.00352878437219731,
2056,0.0,0.0,
2057,0.01045254,0.01045254,
2058,0.0,0.0,
2059,0.0,0.0,
2060,0.0,0.0,
2061,1.34690373,1.252669516977953,
2062,6.71003272,6.964002482523912,0.32267996436896595
2063,0.0,0.0,
2064,0.0,0.0,
2065,2.98353711,4.525024974525332,0.22991735412439446
2066,0.0,-0.0,
2067,0.0,2.7611487318121153,
2068,0.0,0.0,
2069,0.0,0.0,
2070,0.0,0.0,
2071,0.00018286,0.00018211499999999995,
2072,0.0,0.0,
2073,0.0,3.432865691187833e-05,
2074,6.45205687,5.228566174245318,
2075,0.0,-0.0,
2076,0.64175144,0.8259129971795016,0.06869848056684236
2077,0.0,0.13379693571205098,
2078,0.0,0.0,
2079,0.0,0.0,
2080,0.0,0.0,
2081,0.0,0.0,
2082,0.0,0.0,
2083,0.0,0.0,
2084,0.0,4.145107038940615e-06,
2085,0.0,0.0,
2086,0.0,0.0,
2087,0.0,0.0,
2088,0.0,0.0,
